ID,Sexo,Estado civil,Edad,Educacion,Ingreso anual,Ocupacion,Tamano de asentamiento
100000364,Mujer,,21,secundaria,96769,empleado/a calificado/a / funcionario/a,2
100000365,Mujer,soltero/a,25,,43684,desempleado/a / no calificado/a,0
100000366,Mujer,soltero/a,36,secundaria,103521,empleado/a calificado/a / funcionario/a,0
100000367,Mujer,soltero/a,27,,118499,empleado/a calificado/a / funcionario/a,1
100000368,Hombre,,22,secundaria,119684,empleado/a calificado/a / funcionario/a,2
100000369,Mujer,soltero/a,42,secundaria,126586,empleado/a calificado/a / funcionario/a,1
100000370,Hombre,,40,universidad,136812,empleado/a calificado/a / funcionario/a,2
100000371,Mujer,soltero/a,36,secundaria,118277,empleado/a calificado/a / funcionario/a,1
100000372,Mujer,soltero/a,33,secundaria,144597,empleado/a calificado/a / funcionario/a,1
100000373,Hombre,,23,secundaria,106043,empleado/a calificado/a / funcionario/a,0
100000374,Mujer,soltero/a,63,universidad,272314,,2
100000375,Hombre,,60,universidad,309364,,2
100000376,Hombre,,37,secundaria,170386,empleado/a calificado/a / funcionario/a,1
100000377,Mujer,,34,secundaria,112458,empleado/a calificado/a / funcionario/a,0
100000378,Mujer,soltero/a,36,secundaria,96840,empleado/a calificado/a / funcionario/a,1
100000379,Mujer,soltero/a,57,universidad,281923,,1
100000380,Hombre,,52,universidad,95551,desempleado/a / no calificado/a,0
100000381,Mujer,soltero/a,39,secundaria,112347,empleado/a calificado/a / funcionario/a,2
100000382,Hombre,,38,secundaria,260977,,2
100000383,Hombre,,25,secundaria,99354,empleado/a calificado/a / funcionario/a,0
100000384,Mujer,soltero/a,26,,111509,empleado/a calificado/a / funcionario/a,2
100000385,Mujer,soltero/a,26,,105252,desempleado/a / no calificado/a,0
100000386,Hombre,,25,secundaria,108522,empleado/a calificado/a / funcionario/a,0
100000387,Hombre,,21,secundaria,94655,empleado/a calificado/a / funcionario/a,1
100000388,Mujer,soltero/a,40,secundaria,201699,,1
100000389,Mujer,soltero/a,27,,139868,empleado/a calificado/a / funcionario/a,2
100000390,Hombre,,27,secundaria,102543,empleado/a calificado/a / funcionario/a,1
100000391,Mujer,,30,secundaria,134467,,2
100000392,Hombre,,19,secundaria,111187,desempleado/a / no calificado/a,0
100000393,Mujer,soltero/a,39,secundaria,152302,,1
100000394,Hombre,,31,secundaria,110610,empleado/a calificado/a / funcionario/a,2
100000395,Mujer,soltero/a,31,,137827,,2
100000396,Mujer,soltero/a,32,,220923,empleado/a calificado/a / funcionario/a,2
100000397,Hombre,,55,universidad,165717,,2
100000398,Mujer,,46,universidad,122299,empleado/a calificado/a / funcionario/a,0
100000399,Mujer,,46,universidad,120499,empleado/a calificado/a / funcionario/a,0
100000400,Hombre,,43,universidad,126449,desempleado/a / no calificado/a,0
100000401,Mujer,,39,secundaria,108315,empleado/a calificado/a / funcionario/a,2
100000402,Mujer,,28,secundaria,112515,empleado/a calificado/a / funcionario/a,1
100000403,Mujer,soltero/a,27,,164559,empleado/a calificado/a / funcionario/a,1
100000404,Mujer,soltero/a,27,,59238,desempleado/a / no calificado/a,0
100000405,Mujer,soltero/a,43,secundaria,131133,empleado/a calificado/a / funcionario/a,0
100000406,Mujer,,22,secundaria,109188,empleado/a calificado/a / funcionario/a,0
100000407,Mujer,soltero/a,43,secundaria,115393,empleado/a calificado/a / funcionario/a,1
100000408,Mujer,,27,secundaria,94711,empleado/a calificado/a / funcionario/a,2
100000409,Mujer,,26,secundaria,171860,,0
100000410,Mujer,,28,secundaria,139414,empleado/a calificado/a / funcionario/a,2
100000411,Hombre,,20,secundaria,110931,empleado/a calificado/a / funcionario/a,1
100000412,Mujer,soltero/a,35,secundaria,187549,,2
100000413,Mujer,soltero/a,42,secundaria,145508,,0
100000414,Mujer,soltero/a,40,secundaria,104240,desempleado/a / no calificado/a,0
100000415,Hombre,,35,secundaria,108272,empleado/a calificado/a / funcionario/a,1
100000416,Mujer,soltero/a,35,secundaria,144004,empleado/a calificado/a / funcionario/a,2
100000417,Mujer,soltero/a,33,secundaria,81083,desempleado/a / no calificado/a,0
100000418,Hombre,,23,secundaria,166763,empleado/a calificado/a / funcionario/a,1
100000419,Hombre,,31,secundaria,175530,,1
100000420,Hombre,,33,secundaria,112422,empleado/a calificado/a / funcionario/a,1
100000421,Hombre,,20,secundaria,154134,empleado/a calificado/a / funcionario/a,2
100000422,Mujer,soltero/a,30,,112401,empleado/a calificado/a / funcionario/a,1
100000423,Mujer,soltero/a,47,secundaria,85690,desempleado/a / no calificado/a,0
100000424,Mujer,soltero/a,34,secundaria,145896,,2
100000425,Hombre,,25,secundaria,122552,empleado/a calificado/a / funcionario/a,2
100000426,Mujer,,21,secundaria,115494,empleado/a calificado/a / funcionario/a,2
100000427,Mujer,soltero/a,29,,109467,empleado/a calificado/a / funcionario/a,0
100000428,Mujer,soltero/a,46,secundaria,148226,empleado/a calificado/a / funcionario/a,2
100000429,Mujer,soltero/a,20,,88559,empleado/a calificado/a / funcionario/a,1
100000430,Hombre,,55,universidad,62393,desempleado/a / no calificado/a,0
100000431,Mujer,soltero/a,74,universidad,122133,desempleado/a / no calificado/a,0
100000432,Mujer,soltero/a,29,,230883,,2
100000433,Mujer,soltero/a,36,secundaria,136689,,2
100000434,Mujer,,33,secundaria,109145,empleado/a calificado/a / funcionario/a,0
100000435,Mujer,soltero/a,25,,100449,empleado/a calificado/a / funcionario/a,2
100000436,Mujer,,25,secundaria,106253,empleado/a calificado/a / funcionario/a,0
100000437,Mujer,,23,secundaria,84747,desempleado/a / no calificado/a,0
100000438,Hombre,,37,secundaria,149465,empleado/a calificado/a / funcionario/a,1
100000439,Mujer,soltero/a,65,universidad,84435,desempleado/a / no calificado/a,0
100000440,Hombre,,26,secundaria,51681,desempleado/a / no calificado/a,0
100000441,Mujer,soltero/a,39,secundaria,139198,,1
100000442,Hombre,,30,secundaria,106577,empleado/a calificado/a / funcionario/a,1
100000443,Mujer,soltero/a,29,,117372,empleado/a calificado/a / funcionario/a,2
100000444,Mujer,soltero/a,41,secundaria,69609,desempleado/a / no calificado/a,0
100000445,Hombre,,30,secundaria,178947,,2
100000446,Hombre,,41,universidad,81743,desempleado/a / no calificado/a,0
100000447,Hombre,,34,secundaria,111900,empleado/a calificado/a / funcionario/a,1
100000448,Mujer,soltero/a,35,secundaria,121650,empleado/a calificado/a / funcionario/a,0
100000449,Hombre,,55,universidad,172639,,2
100000450,Mujer,,61,universidad,175740,empleado/a calificado/a / funcionario/a,1
100000451,Mujer,soltero/a,30,,220050,,2
100000452,Hombre,,29,secundaria,95200,empleado/a calificado/a / funcionario/a,1
100000453,Mujer,soltero/a,34,secundaria,113609,empleado/a calificado/a / funcionario/a,1
100000454,Mujer,soltero/a,35,secundaria,143552,,2
100000455,Mujer,soltero/a,31,,130973,empleado/a calificado/a / funcionario/a,2
100000456,Hombre,,29,secundaria,145946,,2
100000457,Mujer,soltero/a,36,secundaria,126206,empleado/a calificado/a / funcionario/a,1
100000458,Mujer,soltero/a,35,secundaria,120426,empleado/a calificado/a / funcionario/a,0
100000459,Hombre,,27,secundaria,91925,empleado/a calificado/a / funcionario/a,2
100000460,Mujer,soltero/a,32,,129630,empleado/a calificado/a / funcionario/a,2
100000461,Mujer,soltero/a,37,secundaria,124268,empleado/a calificado/a / funcionario/a,2
100000462,Mujer,soltero/a,36,secundaria,105240,empleado/a calificado/a / funcionario/a,1
100000463,Hombre,,34,secundaria,162180,,0
100000464,Mujer,soltero/a,38,secundaria,106552,empleado/a calificado/a / funcionario/a,2
100000465,Mujer,soltero/a,34,secundaria,105843,empleado/a calificado/a / funcionario/a,2
100000466,Mujer,soltero/a,63,universidad,138327,empleado/a calificado/a / funcionario/a,1
100000467,Hombre,,29,secundaria,76154,desempleado/a / no calificado/a,0
100000468,Mujer,soltero/a,32,,155012,empleado/a calificado/a / funcionario/a,1
100000469,Hombre,,26,secundaria,114369,empleado/a calificado/a / funcionario/a,1
100000470,Mujer,soltero/a,35,secundaria,102839,desempleado/a / no calificado/a,0
100000471,Mujer,,22,secundaria,132796,empleado/a calificado/a / funcionario/a,0
100000472,Hombre,,23,secundaria,89742,empleado/a calificado/a / funcionario/a,2
100000473,Mujer,soltero/a,28,,58615,desempleado/a / no calificado/a,0
100000474,Mujer,soltero/a,36,secundaria,130603,,2
100000475,Mujer,,33,secundaria,110340,empleado/a calificado/a / funcionario/a,0
100000476,Hombre,,26,secundaria,117729,empleado/a calificado/a / funcionario/a,2
100000477,Mujer,soltero/a,24,,130808,empleado/a calificado/a / funcionario/a,0
100000478,Mujer,soltero/a,25,,147402,empleado/a calificado/a / funcionario/a,2
100000479,Mujer,soltero/a,39,secundaria,93567,desempleado/a / no calificado/a,0
100000480,Mujer,soltero/a,44,secundaria,109289,empleado/a calificado/a / funcionario/a,1
100000481,Hombre,,23,secundaria,98742,desempleado/a / no calificado/a,0
100000482,Mujer,soltero/a,26,,101270,empleado/a calificado/a / funcionario/a,0
100000483,Hombre,,57,universidad,187835,empleado/a calificado/a / funcionario/a,1
100000484,Hombre,,30,secundaria,140741,empleado/a calificado/a / funcionario/a,0
100000485,Mujer,soltero/a,44,secundaria,133265,empleado/a calificado/a / funcionario/a,2
100000486,Mujer,soltero/a,47,secundaria,148100,,2
100000487,Mujer,soltero/a,52,secundaria,131021,empleado/a calificado/a / funcionario/a,2
100000488,Hombre,,62,universidad,152620,empleado/a calificado/a / funcionario/a,2
100000489,Mujer,soltero/a,35,secundaria,85033,desempleado/a / no calificado/a,0
100000490,Mujer,soltero/a,26,,114514,empleado/a calificado/a / funcionario/a,1
100000491,Mujer,soltero/a,26,,99307,empleado/a calificado/a / funcionario/a,1
100000492,Hombre,,42,universidad,219451,,2
100000493,Hombre,,27,secundaria,114007,empleado/a calificado/a / funcionario/a,0
100000494,Mujer,soltero/a,38,secundaria,102846,empleado/a calificado/a / funcionario/a,0
100000495,Mujer,soltero/a,39,secundaria,81483,desempleado/a / no calificado/a,0
100000496,Mujer,,20,secundaria,107779,empleado/a calificado/a / funcionario/a,2
100000497,Mujer,soltero/a,29,,222360,,2
100000498,Mujer,soltero/a,40,secundaria,107125,empleado/a calificado/a / funcionario/a,0
100000499,Mujer,,32,secundaria,80080,desempleado/a / no calificado/a,0
100000500,Mujer,,28,secundaria,129600,empleado/a calificado/a / funcionario/a,0
100000501,Hombre,,27,secundaria,118613,empleado/a calificado/a / funcionario/a,1
100000502,Mujer,soltero/a,42,secundaria,146237,empleado/a calificado/a / funcionario/a,1
100000503,Mujer,,49,universidad,144461,empleado/a calificado/a / funcionario/a,2
100000504,Mujer,soltero/a,38,secundaria,124487,empleado/a calificado/a / funcionario/a,0
100000505,Hombre,,24,secundaria,97826,empleado/a calificado/a / funcionario/a,0
100000506,Mujer,soltero/a,27,,64105,desempleado/a / no calificado/a,0
100000507,Mujer,soltero/a,36,secundaria,156374,empleado/a calificado/a / funcionario/a,2
100000508,Mujer,soltero/a,34,secundaria,205383,,2
100000509,Mujer,,28,secundaria,98964,empleado/a calificado/a / funcionario/a,2
100000510,Mujer,soltero/a,45,secundaria,221842,,2
100000511,Mujer,soltero/a,26,,88027,empleado/a calificado/a / funcionario/a,2
100000512,Mujer,soltero/a,32,,160513,,2
100000513,Mujer,soltero/a,26,,124536,empleado/a calificado/a / funcionario/a,2
100000514,Mujer,,20,secundaria,93634,empleado/a calificado/a / funcionario/a,0
100000515,Mujer,soltero/a,54,secundaria,124725,empleado/a calificado/a / funcionario/a,0
100000516,Hombre,,37,secundaria,102456,empleado/a calificado/a / funcionario/a,0
100000517,Mujer,soltero/a,40,secundaria,74975,desempleado/a / no calificado/a,0
100000518,Hombre,,23,secundaria,153861,empleado/a calificado/a / funcionario/a,1
100000519,Mujer,soltero/a,43,secundaria,119351,empleado/a calificado/a / funcionario/a,2
100000520,Mujer,soltero/a,36,secundaria,95438,empleado/a calificado/a / funcionario/a,2
100000521,Mujer,soltero/a,44,secundaria,147967,empleado/a calificado/a / funcionario/a,2
100000522,Hombre,,24,secundaria,116863,empleado/a calificado/a / funcionario/a,1
100000523,Mujer,soltero/a,53,secundaria,170622,empleado/a calificado/a / funcionario/a,1
100000524,Hombre,,23,secundaria,132426,empleado/a calificado/a / funcionario/a,1
100000525,Hombre,,26,secundaria,77519,desempleado/a / no calificado/a,0
100000526,Mujer,soltero/a,30,,169405,empleado/a calificado/a / funcionario/a,2
100000527,Hombre,,31,secundaria,120030,empleado/a calificado/a / funcionario/a,0
100000528,Mujer,soltero/a,42,secundaria,77933,desempleado/a / no calificado/a,0
100000529,Mujer,,31,secundaria,109892,empleado/a calificado/a / funcionario/a,1
100000530,Mujer,soltero/a,41,secundaria,69062,desempleado/a / no calificado/a,0
100000531,Mujer,soltero/a,32,,116348,empleado/a calificado/a / funcionario/a,0
100000532,Hombre,,28,secundaria,137188,empleado/a calificado/a / funcionario/a,1
100000533,Mujer,,41,secundaria,110199,empleado/a calificado/a / funcionario/a,0
100000534,Mujer,,26,secundaria,109890,empleado/a calificado/a / funcionario/a,1
100000535,Mujer,soltero/a,25,,109751,empleado/a calificado/a / funcionario/a,2
100000536,Mujer,,33,secundaria,129651,empleado/a calificado/a / funcionario/a,1
100000537,Hombre,,75,,170113,,1
100000538,Hombre,,37,secundaria,140285,empleado/a calificado/a / funcionario/a,1
100000539,Mujer,soltero/a,42,secundaria,198029,,2
100000540,Hombre,,45,universidad,120262,desempleado/a / no calificado/a,0
100000541,Mujer,,23,secundaria,105137,empleado/a calificado/a / funcionario/a,1
100000542,Mujer,soltero/a,60,universidad,127371,empleado/a calificado/a / funcionario/a,0
100000543,Mujer,soltero/a,31,,145689,empleado/a calificado/a / funcionario/a,0
100000544,Mujer,soltero/a,34,secundaria,102617,desempleado/a / no calificado/a,1
100000545,Mujer,soltero/a,61,universidad,90709,desempleado/a / no calificado/a,0
100000546,Mujer,soltero/a,43,secundaria,107099,empleado/a calificado/a / funcionario/a,1
100000547,Hombre,,37,secundaria,116021,empleado/a calificado/a / funcionario/a,2
100000548,Mujer,soltero/a,32,,100426,empleado/a calificado/a / funcionario/a,2
100000549,Hombre,,24,secundaria,62249,desempleado/a / no calificado/a,0
100000550,Mujer,soltero/a,35,secundaria,172957,empleado/a calificado/a / funcionario/a,1
100000551,Hombre,,23,secundaria,95003,empleado/a calificado/a / funcionario/a,1
100000552,Mujer,soltero/a,45,secundaria,109698,desempleado/a / no calificado/a,0
100000553,Mujer,,34,secundaria,157376,empleado/a calificado/a / funcionario/a,0
100000554,Mujer,soltero/a,27,,123191,empleado/a calificado/a / funcionario/a,2
100000555,Hombre,,67,,171052,,0
100000556,Mujer,soltero/a,22,,99328,empleado/a calificado/a / funcionario/a,0
100000557,Hombre,,28,secundaria,133799,empleado/a calificado/a / funcionario/a,2
100000558,Hombre,,29,secundaria,138256,empleado/a calificado/a / funcionario/a,2
100000559,Mujer,soltero/a,27,,115638,empleado/a calificado/a / funcionario/a,0
100000560,Mujer,soltero/a,31,,82238,desempleado/a / no calificado/a,0
100000561,Mujer,soltero/a,49,secundaria,127543,empleado/a calificado/a / funcionario/a,1
100000562,Mujer,soltero/a,24,,63987,desempleado/a / no calificado/a,0
100000563,Hombre,,29,secundaria,114784,empleado/a calificado/a / funcionario/a,0
100000564,Mujer,soltero/a,37,secundaria,217450,empleado/a calificado/a / funcionario/a,1
100000565,Mujer,soltero/a,37,secundaria,173751,,2
100000566,Hombre,,23,secundaria,122850,empleado/a calificado/a / funcionario/a,0
100000567,Mujer,,36,secundaria,104953,empleado/a calificado/a / funcionario/a,0
100000568,Mujer,soltero/a,34,secundaria,152371,empleado/a calificado/a / funcionario/a,1
100000569,Mujer,soltero/a,41,secundaria,139905,empleado/a calificado/a / funcionario/a,0
100000570,Hombre,,31,secundaria,156700,empleado/a calificado/a / funcionario/a,1
100000571,Hombre,,23,secundaria,86488,desempleado/a / no calificado/a,0
100000572,Mujer,soltero/a,38,secundaria,147472,empleado/a calificado/a / funcionario/a,0
100000573,Hombre,,26,secundaria,169991,,0
100000574,Hombre,,22,secundaria,62381,desempleado/a / no calificado/a,0
100000575,Mujer,soltero/a,27,,70926,desempleado/a / no calificado/a,0
100000576,Hombre,,24,secundaria,113004,empleado/a calificado/a / funcionario/a,1
100000577,Hombre,,27,secundaria,125760,empleado/a calificado/a / funcionario/a,0
100000578,Hombre,,33,secundaria,111918,empleado/a calificado/a / funcionario/a,2
100000579,Mujer,,27,secundaria,120674,empleado/a calificado/a / funcionario/a,1
100000580,Mujer,,27,secundaria,63597,desempleado/a / no calificado/a,0
100000581,Mujer,soltero/a,30,,103069,empleado/a calificado/a / funcionario/a,1
100000582,Mujer,soltero/a,49,secundaria,108079,desempleado/a / no calificado/a,0
100000583,Hombre,,26,secundaria,101159,empleado/a calificado/a / funcionario/a,1
100000584,Mujer,soltero/a,33,secundaria,88211,desempleado/a / no calificado/a,0
100000585,Hombre,,52,universidad,159052,,1
100000586,Hombre,,20,secundaria,102623,empleado/a calificado/a / funcionario/a,2
100000587,Mujer,soltero/a,36,secundaria,115589,empleado/a calificado/a / funcionario/a,0
100000588,Mujer,soltero/a,21,,59127,desempleado/a / no calificado/a,0
100000589,Mujer,,47,universidad,82240,desempleado/a / no calificado/a,0
100000590,Mujer,soltero/a,60,universidad,129425,empleado/a calificado/a / funcionario/a,1
100000591,Hombre,,58,universidad,87058,desempleado/a / no calificado/a,0
100000592,Hombre,,42,universidad,128462,empleado/a calificado/a / funcionario/a,2
100000593,Hombre,,36,secundaria,121403,desempleado/a / no calificado/a,0
100000594,Hombre,,20,secundaria,88141,desempleado/a / no calificado/a,0
100000595,Mujer,soltero/a,40,secundaria,134946,,2
100000596,Hombre,,32,secundaria,94058,desempleado/a / no calificado/a,0
100000597,Hombre,,23,secundaria,99285,empleado/a calificado/a / funcionario/a,1
100000598,Mujer,soltero/a,36,secundaria,108432,desempleado/a / no calificado/a,0
100000599,Mujer,soltero/a,31,,111369,empleado/a calificado/a / funcionario/a,0
100000600,Mujer,soltero/a,32,,122612,empleado/a calificado/a / funcionario/a,2
100000601,Hombre,,45,universidad,134350,empleado/a calificado/a / funcionario/a,0
100000602,Hombre,,30,secundaria,108838,empleado/a calificado/a / funcionario/a,2
100000603,Hombre,,34,secundaria,90852,desempleado/a / no calificado/a,0
100000604,Hombre,,28,secundaria,151580,,2
100000605,Hombre,,23,secundaria,115681,empleado/a calificado/a / funcionario/a,1
100000606,Mujer,soltero/a,22,,131699,empleado/a calificado/a / funcionario/a,1
100000607,Mujer,soltero/a,74,universidad,192481,,1
100000608,Hombre,,50,universidad,155122,empleado/a calificado/a / funcionario/a,2
100000609,Mujer,soltero/a,33,secundaria,106015,empleado/a calificado/a / funcionario/a,2
100000610,Mujer,soltero/a,45,secundaria,108378,empleado/a calificado/a / funcionario/a,0
100000611,Hombre,,22,secundaria,105257,empleado/a calificado/a / funcionario/a,1
100000612,Hombre,,48,universidad,118788,desempleado/a / no calificado/a,0
100000613,Hombre,,29,secundaria,162955,empleado/a calificado/a / funcionario/a,2
100000614,Hombre,,22,secundaria,119511,empleado/a calificado/a / funcionario/a,2
100000615,Hombre,,22,secundaria,102000,empleado/a calificado/a / funcionario/a,0
100000616,Mujer,soltero/a,48,secundaria,254449,,1
100000617,Mujer,soltero/a,27,,208446,,2
100000618,Mujer,soltero/a,37,secundaria,124805,empleado/a calificado/a / funcionario/a,0
100000619,Hombre,,21,secundaria,139379,empleado/a calificado/a / funcionario/a,0
100000620,Mujer,,49,universidad,78296,desempleado/a / no calificado/a,0
100000621,Mujer,soltero/a,27,,125598,empleado/a calificado/a / funcionario/a,1
100000622,Mujer,soltero/a,32,,100215,empleado/a calificado/a / funcionario/a,2
100000623,Mujer,,38,secundaria,130951,empleado/a calificado/a / funcionario/a,2
100000624,Hombre,,22,secundaria,102480,empleado/a calificado/a / funcionario/a,2
100000625,Mujer,soltero/a,65,universidad,136812,empleado/a calificado/a / funcionario/a,1
100000626,Mujer,soltero/a,35,secundaria,106919,empleado/a calificado/a / funcionario/a,1
100000627,Mujer,soltero/a,41,secundaria,131020,empleado/a calificado/a / funcionario/a,2
100000628,Mujer,soltero/a,29,,119429,empleado/a calificado/a / funcionario/a,1
100000629,Mujer,soltero/a,36,secundaria,154521,empleado/a calificado/a / funcionario/a,1
100000630,Mujer,soltero/a,64,universidad,117842,desempleado/a / no calificado/a,0
100000631,Hombre,,28,secundaria,124566,empleado/a calificado/a / funcionario/a,2
100000632,Mujer,soltero/a,44,secundaria,110009,empleado/a calificado/a / funcionario/a,2
100000633,Mujer,soltero/a,23,,101210,empleado/a calificado/a / funcionario/a,1
100000634,Hombre,,19,secundaria,101258,empleado/a calificado/a / funcionario/a,0
100000635,Hombre,,25,secundaria,79045,desempleado/a / no calificado/a,0
100000636,Mujer,soltero/a,47,secundaria,110866,empleado/a calificado/a / funcionario/a,0
100000637,Hombre,,28,secundaria,129640,empleado/a calificado/a / funcionario/a,2
100000638,Mujer,soltero/a,21,,227021,empleado/a calificado/a / funcionario/a,1
100000639,Hombre,,34,secundaria,108549,empleado/a calificado/a / funcionario/a,1
100000640,Mujer,soltero/a,26,,122693,empleado/a calificado/a / funcionario/a,0
100000641,Hombre,,27,secundaria,35832,desempleado/a / no calificado/a,0
100000642,Mujer,soltero/a,38,secundaria,81870,desempleado/a / no calificado/a,0
100000643,Mujer,soltero/a,40,secundaria,179790,,2
100000644,Mujer,,33,secundaria,107158,empleado/a calificado/a / funcionario/a,1
100000645,Mujer,,32,secundaria,136638,,1
100000646,Mujer,soltero/a,27,,158147,empleado/a calificado/a / funcionario/a,2
100000647,Mujer,,32,secundaria,132587,empleado/a calificado/a / funcionario/a,2
100000648,Hombre,,26,secundaria,128140,empleado/a calificado/a / funcionario/a,2
100000649,Mujer,soltero/a,38,secundaria,117405,empleado/a calificado/a / funcionario/a,1
100000650,Mujer,soltero/a,40,secundaria,68475,desempleado/a / no calificado/a,0
100000651,Mujer,soltero/a,50,secundaria,201656,,2
100000652,Mujer,soltero/a,37,secundaria,86967,desempleado/a / no calificado/a,0
100000653,Mujer,soltero/a,45,secundaria,118006,empleado/a calificado/a / funcionario/a,1
100000654,Mujer,soltero/a,42,secundaria,223630,,2
100000655,Mujer,soltero/a,35,secundaria,110442,empleado/a calificado/a / funcionario/a,0
100000656,Mujer,soltero/a,22,,115691,empleado/a calificado/a / funcionario/a,2
100000657,Mujer,soltero/a,41,secundaria,80232,desempleado/a / no calificado/a,0
100000658,Mujer,soltero/a,37,secundaria,187647,empleado/a calificado/a / funcionario/a,1
100000659,Hombre,,28,secundaria,138952,empleado/a calificado/a / funcionario/a,1
100000660,Mujer,soltero/a,41,secundaria,162772,empleado/a calificado/a / funcionario/a,2
100000661,Mujer,,23,secundaria,111862,empleado/a calificado/a / funcionario/a,1
100000662,Mujer,,23,secundaria,90051,empleado/a calificado/a / funcionario/a,1
100000663,Mujer,soltero/a,50,secundaria,121400,empleado/a calificado/a / funcionario/a,1
100000664,Mujer,soltero/a,35,secundaria,137000,,2
100000665,Hombre,,50,universidad,105031,desempleado/a / no calificado/a,0
100000666,Mujer,soltero/a,27,,172153,,2
100000667,Mujer,soltero/a,34,secundaria,170184,empleado/a calificado/a / funcionario/a,1
100000668,Hombre,,27,secundaria,123279,empleado/a calificado/a / funcionario/a,1
100000669,Mujer,soltero/a,43,secundaria,140795,empleado/a calificado/a / funcionario/a,0
100000670,Mujer,soltero/a,47,secundaria,144456,empleado/a calificado/a / funcionario/a,0
100000671,Mujer,soltero/a,27,,104773,desempleado/a / no calificado/a,0
100000672,Mujer,soltero/a,31,,153353,empleado/a calificado/a / funcionario/a,1
100000673,Mujer,soltero/a,42,secundaria,223018,,1
100000674,Mujer,,24,secundaria,129177,empleado/a calificado/a / funcionario/a,2
100000675,Mujer,soltero/a,41,secundaria,114475,desempleado/a / no calificado/a,1
100000676,Hombre,,26,secundaria,161323,,1
100000677,Mujer,soltero/a,33,secundaria,135765,empleado/a calificado/a / funcionario/a,2
100000678,Mujer,,24,secundaria,158421,empleado/a calificado/a / funcionario/a,0
100000679,Mujer,soltero/a,64,universidad,103941,desempleado/a / no calificado/a,0
100000680,Hombre,,26,secundaria,101783,empleado/a calificado/a / funcionario/a,2
100000681,Hombre,,56,universidad,126531,empleado/a calificado/a / funcionario/a,1
100000682,Mujer,soltero/a,37,secundaria,111394,empleado/a calificado/a / funcionario/a,1
100000683,Mujer,,33,secundaria,103577,empleado/a calificado/a / funcionario/a,2
100000684,Mujer,,47,universidad,149545,empleado/a calificado/a / funcionario/a,1
100000685,Mujer,soltero/a,31,,171857,desempleado/a / no calificado/a,0
100000686,Mujer,soltero/a,34,secundaria,149782,empleado/a calificado/a / funcionario/a,1
100000687,Mujer,soltero/a,27,,112470,empleado/a calificado/a / funcionario/a,1
100000688,Mujer,soltero/a,30,,133907,empleado/a calificado/a / funcionario/a,2
100000689,Mujer,soltero/a,35,secundaria,127849,empleado/a calificado/a / funcionario/a,1
100000690,Mujer,soltero/a,31,,160279,empleado/a calificado/a / funcionario/a,2
100000691,Mujer,,25,secundaria,92366,empleado/a calificado/a / funcionario/a,2
100000692,Hombre,,25,secundaria,104794,desempleado/a / no calificado/a,0
100000693,Mujer,soltero/a,29,,133436,empleado/a calificado/a / funcionario/a,1
100000694,Mujer,soltero/a,44,secundaria,110374,desempleado/a / no calificado/a,0
100000695,Mujer,soltero/a,28,,104263,empleado/a calificado/a / funcionario/a,1
100000696,Mujer,soltero/a,50,secundaria,138752,empleado/a calificado/a / funcionario/a,0
100000697,Mujer,soltero/a,29,,102723,empleado/a calificado/a / funcionario/a,0
100000698,Hombre,,38,secundaria,46297,desempleado/a / no calificado/a,0
100000699,Mujer,soltero/a,24,,96425,empleado/a calificado/a / funcionario/a,1
100000700,Mujer,soltero/a,40,secundaria,158197,,1
100000701,Hombre,,29,secundaria,98008,desempleado/a / no calificado/a,0
100000702,Mujer,soltero/a,46,secundaria,157473,empleado/a calificado/a / funcionario/a,0
100000703,Hombre,,47,universidad,149306,empleado/a calificado/a / funcionario/a,0
100000704,Mujer,soltero/a,41,secundaria,139236,empleado/a calificado/a / funcionario/a,1
100000705,Hombre,,32,secundaria,125890,empleado/a calificado/a / funcionario/a,2
100000706,Hombre,,35,secundaria,173124,empleado/a calificado/a / funcionario/a,1
100000707,Mujer,soltero/a,24,,164621,empleado/a calificado/a / funcionario/a,1
100000708,Hombre,,25,secundaria,124539,empleado/a calificado/a / funcionario/a,1
100000709,Hombre,,25,secundaria,107614,empleado/a calificado/a / funcionario/a,1
100000710,Mujer,soltero/a,37,secundaria,88849,desempleado/a / no calificado/a,0
100000711,Mujer,soltero/a,32,,148566,,2
100000712,Hombre,,35,secundaria,106515,empleado/a calificado/a / funcionario/a,2
100000713,Mujer,soltero/a,46,secundaria,150465,,1
100000714,Mujer,soltero/a,25,,60868,desempleado/a / no calificado/a,0
100000715,Mujer,soltero/a,27,,255198,,2
100000716,Mujer,soltero/a,63,universidad,183178,empleado/a calificado/a / funcionario/a,1
100000717,Mujer,soltero/a,40,secundaria,121448,empleado/a calificado/a / funcionario/a,2
100000718,Mujer,soltero/a,32,,129975,,2
100000719,Mujer,soltero/a,31,,132950,empleado/a calificado/a / funcionario/a,2
100000720,Mujer,,31,secundaria,169314,empleado/a calificado/a / funcionario/a,1
100000721,Mujer,soltero/a,34,secundaria,147958,,1
100000722,Hombre,,24,secundaria,139896,empleado/a calificado/a / funcionario/a,2
100000723,Hombre,,24,secundaria,68028,desempleado/a / no calificado/a,0
100000724,Hombre,,66,,133328,desempleado/a / no calificado/a,0
100000725,Hombre,,21,secundaria,108518,empleado/a calificado/a / funcionario/a,2
100000726,Hombre,,41,universidad,112700,desempleado/a / no calificado/a,0
